product_category,problem,repair_status,brand,model,year_of_manufacture
small kitchen item,not spinning properly,fixed,Braun,Hand blender,????
small kitchen item,switch contacts damaged,fixed,Ninja,Blender,????
laptop,no display,repairable,HP,Chromebook G5,????
kettle,loose connection,fixed,Russell Hobbs,Unknown,????
power tool,cable cut shortened,fixed,Unknown,Ryno Hedge Trimmer,????
laptop,power jack socket loose,fixed,Samsung,NP530U4BL,????
misc,parts missing washer needle bobbin,fixed,Unknown,Child's sewing machine,????
tablet,does not boot,end of life,Acer,Unknown,????
tv and gaming related accessories,3 red lights displayed when turned on secondary error 0110 repaired by reflowing the gpu cleaning the heatsink from old thermal paste replacing thermal paste also the dvd tray didn t open this was fixed by spraying contact cleaner into the opening mechanism,fixed,Microsoft,XBox 360 Elite Revision Falcon 3.,????
small kitchen item,blender doesn t power on not sure why unable to open it sealed plastic on all sides,end of life,Moulinex,Illico,????
mobile,needed a new battery but after replacing the battery the phone stopped working even using the old battery it looks like a mistake was made during the repair possible short circuit the phone was repaired after the event by replacing the display and vibration motor,repairable,Apple,iPhone SE,2016
laptop,don t know the bios password reflashed the bios but then it didn t recognise the hard drive,repairable,ASUS,Unknown,????
laptop,the screen doesn t work tried to reflow the gpu but it was dead needs new gpu,repairable,Sony,VAIO PCG-381M,????
desktop computer,a very old desktop pc powers on but doesn t work tried testing as many components as possible but ran out of time,repairable,Data Pool,sytek junior 4668 520,????
laptop,the image occupies only part of the screen there was a missing driver which we downloaded but the hard drive is broken a mechanical drive with block damage needs a new hard drive,repairable,Toshiba,Satellite P10,????
mobile,battery not charging we tried charging using a bench charger but still nothing seemed to be going through reversed the poles for a few minutes and then got some charge into it and it charged normally with its own charger again,fixed,Nokia,3210,????
laptop,fan making grinding sound took apart and cleaned mild improvement but still some sound might need new fan to completely fix,fixed,Lenovo,Yoga 900,????
power tool,battery does not charge,repairable,Bosch,Unknown,????
power tool,battery does not charge replacement needed,repairable,Unknown,Unknown,????
misc,sewing machine connector broken casing glued and wire replaced,fixed,Unknown,Unknown,????
lamp,sewing machine lamp was loosened,fixed,Unknown,Unknown,????
portable radio,short circuit in pcb,end of life,Unknown,Unknown,????
vacuum,checked for water damage no malfunction found,fixed,Unknown,Unknown,????
misc,ipod docker speaker,unknown,Apple,Unknown,????
misc,bike lock,fixed,Unknown,Unknown,????
misc,electric toothbrush,fixed,Braun,Unknown,????
misc,line phone,fixed,Unknown,Unknown,????
laptop,won t start,fixed,Apple,Macbook,????
laptop,dust,fixed,Apple,Macbook,????
laptop,software bug,fixed,Apple,Macbook,????
laptop,new chrome version needed,fixed,Apple,Macbook,????
laptop,fan noise,fixed,Unknown,Unknown,????
laptop,data transfer,fixed,Unknown,Unknown,????
laptop,bug after win update,fixed,Unknown,Unknown,????
laptop,reinstall of windows 7,fixed,Unknown,Unknown,????
laptop,cleaning dust overheating,fixed,Unknown,Unknown,????
laptop,parental control set up,fixed,Unknown,Unknown,????
laptop,motherboard check up,fixed,Unknown,Unknown,????
laptop,slow disk at 100,fixed,Unknown,Unknown,????
laptop,wifi antenna not detected,fixed,Unknown,Unknown,????
laptop,not booting screen blinking,fixed,Unknown,Unknown,????
laptop,full disk antivirus pop ups,fixed,Unknown,Unknown,????
laptop,broken plastic part screen bugs,fixed,Unknown,Unknown,????
laptop,ac connector broken from motherboard,fixed,Unknown,Unknown,????
laptop,pc shuts by itself,fixed,Unknown,Unknown,????
tablet,disk full slow or malfunctioning apps,fixed,Apple,iPad,????
tablet,won t boot blocks at apple logo,fixed,Apple,iPad,????
tablet,restauring wiping for reuse,fixed,Apple,iPad,????
laptop,not booting even if fully charged,fixed,Apple,Unknown,????
mobile,still slow after ram clean up,fixed,Unknown,Unknown,????
mobile,won t connect to wifi,fixed,Unknown,Unknown,????
mobile,no display even if device is detected on wifi bluetooth,fixed,Apple,iPhone SE,2016
mobile,photo cam ra problem,fixed,Apple,iPhone 6+,2014
mobile,battery won t charge,fixed,Apple,iPhone,????
mobile,jack port not working,fixed,Apple,iPhone 4,2010
mobile,swolen battery,repairable,Apple,iPhone,????
laptop,slow start update bugs,repairable,Unknown,Unknown,????
mobile,sim broken inside the phone,repairable,LG,G6,????
tv and gaming related accessories,colour issue,fixed,Sony,Bravia,????
misc,connected to overvoltage,fixed,Unknown,Mackie Thump15,????
handheld entertainment device,old battery,repairable,Apple,Ipod 5g,????
handheld entertainment device,reinstall firmware,fixed,Apple,Ipod 5g,????
fan,broken cable,fixed,Unknown,Fan Heater,????
handheld entertainment device,broken usb connector,end of life,Unknown,Bluetooth speaker,????
lamp,broken wire connector,fixed,Unknown,Unknown,????
hi fi separates,need to refoam the woofer,repairable,Philips,Loudspeakers,????
misc,unknown,repairable,Ariete,Profimaster Robot,????
hair beauty item,motor receives current but does not work snapfit casing remove the front razor and use a screw driver to carefully open the device and not break the snapfits image of snap fits added,end of life,BaByliss,E751E,????
misc,connection to rotor loose resoldered,fixed,Unknown,Portable ditch mower,????
tv and gaming related accessories,broken capacitor will be replaced afterwards,repairable,LG,Home Cinema,????
small kitchen item,loose connection added grease to gears,fixed,Nova,"Mixer, model H",????
mobile,touch screen not working due to water damage new screen required to fix water damage screen is already fractured,repairable,Motorola,Moto G5S Plus,????
kettle,leakage because press fit no longer seals the container,end of life,Unknown,Large coffee maker,????
digital compact camera,battery did not stay in place,fixed,Sony,Cybershot,????
tv and gaming related accessories,keys stay pressed cleaning required,repairable,Unknown,Keyboard,????
laptop,fan makes popping noise cause found but professional work required,repairable,Apple,Macbook Pro,????
small kitchen item,inaccurate measurement will be looked at in the future,repairable,Unknown,Brand Joseph Joseph,????
pc accessory,eol,end of life,Apple,Adapter Macbook,????
portable radio,jammed disc issues with disc tray removed disc as well as tray,fixed,Sony,CyberHome CH-DVD 320,????
handheld entertainment device,dc power supply unstable,fixed,Sony,CD Walkman D-NF30,????
mobile,snapped display assembly flex,repairable,Apple,iPhone 6S,2015
laptop,strips on screen,repairable,Apple,MacBook Air 13â€ 2015,2015
mobile,headphone jack clogged by dust,fixed,Samsung,S7 Edge,2016
laptop,gassing battery requires replacement,repairable,Apple,MacBook Air 11â€ 2011,2011
mobile,charger port not detected,fixed,Samsung,Galaxy Note 4,2014
tablet,cracked digitiser,repairable,Apple,iPad Air 2 WiFi,2014
misc,no display available,end of life,Unknown,Bests Electronic dictionary,????
mobile,camera ois failure,repairable,Apple,iPhone 6S Plus,2015
tablet,unstable battery,repairable,Samsung,Galaxy Tab 3 8â€,2013
laptop,screen replacement,fixed,Apple,MacBook Air 13â€ 2015,2015
tablet,tablet will not boot or be recognised by a computer inspections suggests a short on the main power line,repairable,Google,Nexus 7,????
laptop,swollen battery cell trackpad disabled needs battery replacement and trackpad flex cable replacement,repairable,Apple,MacBook Pron13â€ 2015,2015
mobile,screen assembly replacement,fixed,Apple,iPhone 6S,2015
mobile,unresponsive vibration mode,repairable,Sony,Xperia X Performance,????
laptop,cracked digitiser,repairable,Microsoft,Surface Pro 5th gen,????
tablet,system crash,fixed,Apple,iPad mini 2nd gen,2013
mobile,extreme water damage after being put in a washing machine data can be recovered,end of life,Apple,iPhone 5S,2013
small kitchen item,food mixer motor doesn t start broke when too many carrots put in the mixer so well insulated difficult to get a multimeter in to test motor winding broken broken circuit barrier couldn t remove motor,end of life,Andrew James,AJ-0714DB,????
tv and gaming related accessories,fan making lots of noise opened up but wasn t too dirty might need to put some thermal paste on the heat sink participant was happy to try this at home,repairable,Sony,Playstation 4,????
misc,clock keeps losing time needs a new battery every 3 days suggested to get a new mechanism,repairable,Habitat,Weather,????
laptop,blue light comes on fan starts no screen was overheating when it was working took heat sink off redid paste just run speed fan powered down as normal next time nothing no output to external monitor fan already clean recover data,end of life,Medion akoya,E5312,????
small kitchen item,belt broken needs replacement,repairable,Kenwood,Gourmet A532,????
mobile,doesn t turn on could be a battery issue recommended to try a new battery and then if no joy take it to professional repairer,repairable,Samsung,Galaxy S7 Edge,2016
misc,electric heater reporting as not turning on worked fine midas touch,fixed,Homebase,E0514C,????
hair beauty item,not turning on over time it stopped working maybe a loose connection possibly motor burned out broken mains cable replaced cable,fixed,Beurer,MG45,????
portable radio,volume stuck on 100 opening it up and checking the potentiometer seemed to sort it out,fixed,Matsui,DABR100,????
hi fi separates,intermittent sound from woofer loose connection resoldered,fixed,Harman/Kardon,HK395,????
headphones,wiring chewed by the cat resoldered the wiring together and finished with heat shrink,fixed,Plantronics,Audio 400 DSP,????
lamp,missing plug wired on a new plug,fixed,BEG,1304,????
small kitchen item,kettle doesn t turn on switch works elements have correct resistance everything seemed fine changed the plug from swiss to uk in order to test and it worked,fixed,Philips,HD 4690,????
misc,bike light had been dropped and fell apart put it back together but seems to be a loose connection doesn t turn on midas touch worked fine when trying it,fixed,CATEYE,Opticube,????
small kitchen item,wire broken shortened wire and reattached,fixed,Bosch,MSM7700,????
portable radio,p problem doesn t turn on fuse gone p p diagnosis the internal fuse component had gone tested it by bridging a test fuse into the board works proved that the fuse was what had gone and was then likely down to a one off power surge rather than a fault elsewhere p p solution just needs the right internal component and will work fine could be salvageable from another board p,repairable,audio pro,Addon T3,????
misc,smart plug pin sheared off got a replacement pin from a plug from poundland tried to replace but ran out of time,repairable,KMC,70011,????
misc,poor performance,fixed,Qualcast,Lawnmower,????
lamp,needed conversion to led,fixed,Unknown,Vintage,????
hi fi integrated,cd player stuck,end of life,Sony,Unknown,????
printer scanner,showing paper jam fault,repairable,Epson,Stylus SX215,????
flat screen,not turning on,repairable,Bush,TV,????
paper shredder,not working,end of life,Fellowes,Unknown,????
small kitchen item,broken switch,fixed,Unknown,Multiway plug socket,????
hi fi integrated,lid failing to close properly,repairable,Unknown,Crown,????
lamp,not lighting,repairable,Unknown,Astro lava,????
small kitchen item,proper instructions needed,fixed,Unknown,Crown Point Sewing machine,????
hi fi separates,drawer won t open,fixed,Unknown,DVD player,????
musical instrument,power supply not working instructions give on correct use,fixed,Yamaha,Keyboard,????
small kitchen item,power supply problem advice given on correct fitting,fixed,Unknown,Jessops Light box,????
small kitchen item,random working,end of life,Unknown,Jar lid remover (battery operated),????
misc,couldn t charge changed usb connector,fixed,Unknown,Bluetooth speaker,????
misc,couldn t charge everything was glued together that together with the dangers with li ion batteries made the visitor decide to take it to a shop,unknown,Unknown,Bicycle battery,????
misc,dead battery,fixed,Unknown,"Weighing scales, seemed dead.",????
small kitchen item,dead changed thermo fuse,fixed,Clas Ohlson,Kitchen blender,????
laptop,dead possibly caused by water could not fix will be back,unknown,Unknown,Not sure about model.,????
mobile,dead checked battery that seemed ok at least not working when powered by power cube,unknown,Apple,iPhone 4S,2011
tv and gaming related accessories,dropped not working solution repaired broken tracks on pcb,fixed,Panasonic,Unknown,????
tv and gaming related accessories,tape stuck inside solution tape removed,fixed,Unknown,Unknown,????
vacuum,not working solution faulty valve fixed,fixed,VAX,Unknown,????
laptop,sound problem with headphones,unknown,Unknown,Unknown,????
toaster,right side doesn t stay down,end of life,Unknown,Unknown,????
small kitchen item,u s electronics not working,end of life,Kenwood,Unknown,????
misc,very old cable and no plug solution failed pat test not safe,end of life,Unknown,Unknown,????
lamp,wiring solution wiring sorted out,fixed,Unknown,Unknown,????
laptop,not working software problems solution reinstall os,fixed,Unknown,Unknown,????
hair beauty item,only blows cold,end of life,Revlon,Unknown,????
small kitchen item,not working solution safety interlock plastic finger on bowl broken off,end of life,Unknown,Unknown,????
hi fi separates,problem with opening loading mechanism solution fixed mechanism,fixed,Unknown,Unknown,????
lamp,test fitting solution wiring checked and fixed,fixed,Unknown,Unknown,????
lamp,lamp fitting broken solution fitting replaced,fixed,Unknown,Unknown,????
small kitchen item,cable frayed solution cable support completely broken unrepairable,end of life,Unknown,Unknown,????
printer scanner,scanner not working solution the item was only a printer with no scanning function,unknown,Unknown,Unknown,????
misc,machine wouldn t run solution part needed,repairable,Unknown,Unknown,????
portable radio,went dead,fixed,Unknown,Unknown,????
small kitchen item,jumps around solution cleaned up gunge inside mechanism,fixed,KitchenAid,Unknown,????
lamp,broken holder solution fitted new holder,fixed,Unknown,Unknown,????
misc,zoom doesn t work solution reglued shaft of zoom knob,fixed,Unknown,Merlin LCD,????
hi fi separates,slecht contact bad contact,fixed,Unknown,Unknown,????
tablet,laadt niet meer op doesn t charge anymore,repairable,Unknown,Unknown,????
small kitchen item,broken plug stekker kapot,fixed,Unknown,Unknown,????
misc,naaimachine aandrijfriem gebroken sewing machine drive belt broken,repairable,Unknown,Unknown,????
laptop,usb poorten werken niet meer usb ports stopped working,fixed,Unknown,Unknown,????
handheld entertainment device,fietsgps werk niet meer na hevige regenbui bike gps stopped working after heavy shower,repairable,Garmin,Unknown,????
misc,electrische koelox draad los electric frigobox cord loose,fixed,Unknown,Unknown,????
vacuum,slecht contact bad contact,fixed,Unknown,Unknown,????
power tool,schuurmachine werkt niet meer probleem niet gevonden sander doesn t work at all cause not found,end of life,Unknown,Unknown,????
vacuum,sturing kapot control stopped working,end of life,Unknown,Unknown,????
portable radio,knoppen werken niet meer door slechte contacten buttons stopped working due to bad contacts,fixed,Unknown,Unknown,????
vacuum,snoer kapot cord broken oplossing snoer ingekort solution shortened the cord,fixed,Unknown,Unknown,????
small kitchen item,blender doet niets meer blender stopped working oorzaak niet gevonden cause not found,end of life,Unknown,Blender,????
hi fi separates,kabels los cables loose,fixed,Unknown,Boombox,????
vacuum,ruikt verbrand strange smell,fixed,Unknown,Unknown,????
misc,startknop werkt niet meer start button stopped working oorzaak niet gevonden cause not found,end of life,Unknown,Microwave Oven,????
vacuum,zuigt niet meer stopped sucking oorzaak niet gevonden cause not found,end of life,Unknown,Unknown,????
small kitchen item,plastic tandwieltjes kapot plastic gears broken,repairable,Unknown,Mixer,????
small kitchen item,plastic tandwieltjes kapot worn out plastic gears,repairable,Unknown,Blender,????
small kitchen item,slaat door jumps from one speed to another,end of life,Unknown,Brooedmachine - Bread Machine,????
small kitchen item,elastieken moesten vervangen worden worn out rubber bands needed to be changed,fixed,Unknown,Broodmachine - Bread machine,????
misc,lekt water leaks out,end of life,Unknown,Iron,????
vacuum,snoerhaspel moet vervangen worden cord reel needs to be changed,fixed,Unknown,Unknown,????
mobile,slecht contact bad contact,repairable,Unknown,Unknown,????
small kitchen item,slecht contact bad contact,fixed,Unknown,Keukenrobot - Kitchen Robot,????
misc,snoer los cord loose,fixed,Unknown,Iron,????
decorative or safety lights,stekker afgebroken plug broken,repairable,Unknown,Unknown,????
misc,veer gesprongen in deurslot spring of door lock broken,fixed,Unknown,Micro Wave Oven,????
tablet,geluid werkt niet meer sound stopped working,fixed,Unknown,Unknown,????
misc,komt niet op druk,fixed,Unknown,compressor,????
portable radio,slecht contact,fixed,Philips,AZ1017,????
small kitchen item,afzuiger werkt niet,fixed,Karcher,ruitenwasser,????
small kitchen item,werkt niet,end of life,Unknown,mixer,????
hi fi integrated,slecht contact,fixed,Sony,S Master,????
misc,koolborstels defect,repairable,Unknown,zaagmachine,????
vacuum,werkt niet overbrugging van de storing,fixed,Unknown,Unknown,????
portable radio,kapot,end of life,Unknown,Unknown,????
flat screen,nieuwe printplaat voeding nodig,end of life,Philips,42PFL3605/12,????
misc,slecht contact,fixed,Unknown,Alto Hoge druk reiniger,????
hi fi separates,versterkergedeelte defect,repairable,Unknown,versterker,????
hair beauty item,werkt niet,end of life,Philips,epileertoestel,????
hair beauty item,snoer defect,fixed,Philips,salon dry control,????
small kitchen item,werkt neit,fixed,Unknown,Frifri,????
small kitchen item,not switching on advised to order new switch,repairable,Breville,Crepe maker,????
small kitchen item,not switching on switch mounting had snapped off,fixed,NutriBullet,Unknown,????
small kitchen item,plug rewired,fixed,Moulinex,Hand blender,????
small kitchen item,suddenly stopped working needs spare part,repairable,Unknown,Milk foamer,????
laptop,stuck in restart loop,fixed,Lenovo,Unknown,????
lamp,electrical connection broken,fixed,Unknown,Unknown,????
power tool,not moving made it safely usable,fixed,Xtreme,Jigsaw,????
hi fi integrated,not ejecting cleaned it now working,fixed,Sony,Unknown,????
portable radio,light gone made it usable,fixed,Pure,DAB radio,????
portable radio,not turning on new part needed,repairable,Roberts,Unknown,????
hi fi separates,tray not ejecting advice given will try repair at home,repairable,LG,DVD Recorder,????
hi fi integrated,keeps rejecting cds can t open,end of life,Sony,CD Player,????
toaster,not depressing,end of life,Russell Hobbs,Unknown,????
hair beauty item,stand detached,fixed,Morphy Richards,Curling tongs,????
vacuum,burnt out brush parts not available,end of life,Unknown,Pet vacuum cleaner,????
misc,alarm not working cause was dusty switch,fixed,Unknown,Alarm clock,????
printer scanner,ink head clogged advice given,repairable,Epson,Unknown,????
hi fi separates,still in warranty,repairable,Unknown,CD player,????
hi fi separates,fisseled out advice given,repairable,Pioneer,AV amp,????
small kitchen item,doesnt turn on,end of life,Salter,Weighing scale,????
kettle,leaking,end of life,Morphy Richards,Unknown,????
toaster,not working had removed toast with a knife element found tonbe broken not safely repairable,end of life,Breville,VT281,????
small kitchen item,faulty switch diagnosed at crystal palace session owner sourced replacement which was fitted,fixed,Breville,Crepe maker VT 130,????
handheld entertainment device,on off switch not working on disassembly other problems found on board repair considered difficult,end of life,Apple,ipod nano 6th gen,????
vacuum,works only for few seconds unit properly assembled and put to charge appears to take charge and work but battery likely needs replacement,fixed,Dyson,DC-16 cordless,????
misc,tape slows down on playback found tape drive belt stretched and perished replaced with elastic as pro tem repair needs correct size and diameter of belt sourcing and fitting,repairable,Grundig,DMC68 Dictaphone,????
laptop,pointer wanders across screen found fault in on keyboard joystick old thinkpad style not accessible so new keyboard assembly needed,repairable,Dell,Lattitude E6410,????
tablet,sound but screen does not light foud backlight cables or circuit faulty not able to access and no parts,repairable,Apple,ipad 2,2012
hi fi separates,does not recognise discs found to be intermittant fault no cause found,repairable,Unknown,Evo CD 0707,????
laptop,runs slowly windwoes 10 on machine some malware removed ad blocker put on advice given etc,fixed,Samsung,RV515,????
small kitchen item,not working failed earth continuity test not acessible,end of life,Unknown,Coffe machine - Cooks,????
small kitchen item,not working cant access security torc screws down very long narrow hole,end of life,Unknown,Coffe machine malongo,????
flat screen,not working found bulging capacitors broken diode and suspect broken triacs on power supply board reccomend sourcing new board if available since damage to old board is extensive,repairable,LG,Flattron W2242S,????
flat screen,not working suspect power supply faulty but exact problem not found,repairable,Samsung,Synch master,????
toaster,toast does not stay down on one side susoect faulty electro magnet circuitry but could not remove knobs to get into device not enough time to work out how to get in,repairable,Bush,BLT405,????
misc,unit disassembled and hard drive had been removed with ribbon cable disconnected ciould not see where the ribbon cable should go in the unit some parts appear to be missing no time to work on it further,repairable,Unknown,DVD Recorder,????
kettle,switches off before boiling bimetallic strip adjusted,fixed,Morphy Richards,Unknown,????
hi fi integrated,not working arm switch stuck eased,fixed,Bush,Record player,????
portable radio,loose connection resoldered,fixed,Bush,Unknown,????
lamp,not working fuse replaced,fixed,Unknown,Unknown,????
power tool,not working gear stripped,end of life,Unknown,WDS180,????
toaster,not locking down magnet cleaned,fixed,Next,Unknown,????
small kitchen item,works for a bit then stops bearing worn out in blade assembly,end of life,Ninja,Blender,????
portable radio,display not working,end of life,Pure,Tempus,????
misc,bread not cooking thermistor problem customer referred to e spares,repairable,Kenwood,Bread maker,????
power tool,not working switch cleaned,fixed,Bosch,Lawn mower,????
printer scanner,no print test page blank need ink cartridges,repairable,Canon,Pixma 680,????
hi fi integrated,cd not working no repair info would take too long to disassemble,end of life,Pure,DMx-6,????
hi fi integrated,cd not working no repair info hard to disassemble,end of life,Roberts,Unknown,????
hair beauty item,runs hot bearing libricated and tangled hair removed,fixed,Unknown,Hair dryer,????
toaster,2 out of 4 slots not working need repair info and parts,repairable,DeLonghi,Unknown,????
power tool,not working replaced fuse removed damaged section of lead,fixed,Stanley,Unknown,????
power tool,motor smoking identified spare part owner now able to fix,repairable,Bosch,PBS1800,????
printer scanner,not picking up paper,end of life,HP,Unknown,????
toy,cd not turning difficult to diagnose spares probably not available,end of life,Unknown,Karaoke,????
toy,no sound no repair info spare parts not available,end of life,Unknown,VTECH translator/music tutor,????
toaster,one half not working,end of life,Morphy Richards,Unknown,????
hair beauty item,worn cable owner advised to obtain sugru,repairable,Unknown,Hair dryer,????
handheld entertainment device,plays but too quiet,end of life,Unknown,MP3 player,????
small kitchen item,blades turn but too slowly bearing eased,fixed,Unknown,Coffe mill,????
laptop,ports not working verified with live linux advised to install linux,repairable,Acer,Unknown,????
power tool,not working cable fault,repairable,Unknown,Angle grinder,????
small kitchen item,buttons switches stuck,fixed,Unknown,Yogurt maker,????
toaster,2 4 elements not working,end of life,SMEG,Unknown,????
small kitchen item,percolator thermostaat stuk,fixed,Unknown,Unknown,????
hair beauty item,kabel los aansluiting kapot,repairable,Unknown,Unknown,????
power tool,werkt niet,fixed,Unknown,Unknown,????
misc,kookplaat 1 kookzone werkt niet meer,end of life,Unknown,Unknown,????
small kitchen item,maakt veel lawaai,end of life,Unknown,Unknown,????
small kitchen item,broodbakmachine tandwiel mengmotor stuk,repairable,Unknown,Unknown,????
small kitchen item,koffiezet pompt en warmt niet meer,end of life,Unknown,Unknown,????
portable radio,toestel ontregeld afgesteld,fixed,Unknown,Unknown,????
power tool,kantenmaaier spoel komt steeds los,repairable,Unknown,Unknown,????
power tool,strijkijzer stroomkabel kapot,fixed,Unknown,Unknown,????
small kitchen item,soepmaker mixte niet meer thermische zekering afgegaan,fixed,Unknown,Unknown,????
hi fi separates,platenspeler maakt geen geluid meer kabels luidsprekers kapot,fixed,Unknown,Unknown,????
misc,strijkijzer thermostaat kapot,repairable,Unknown,Unknown,????
misc,luidspreker slecht contact,fixed,Unknown,Unknown,????
power tool,accuboormachine vastzetmechanisme boren geblokkeerd,fixed,Unknown,Unknown,????
misc,lekt water,end of life,Philips,Senseo,????
decorative or safety lights,voeding kapot,fixed,Unknown,Unknown,????
headphones,draad los,fixed,Unknown,Unknown,????
hair beauty item,baardtrimmer los contact,fixed,Unknown,Unknown,????
laptop,scharnier kapot,repairable,Unknown,Unknown,????
laptop,connectie hoofdtelefoon kapot,repairable,Unknown,Unknown,????
misc,power supply hard wired,fixed,Motorola,baby monitor,????
hi fi separates,cleaned up but didn t bring input or output to test,repairable,Unknown,amplifier,????
musical instrument,built in amplifier and speaker no longer works,repairable,Unknown,electric guitar,????
toaster,faulty element unfixable without welding,end of life,Russell Hobbs,Unknown,????
portable radio,0 1 switch stuck cleaned and fixed,fixed,Panasonic,Unknown,????
misc,not closing,repairable,Siemens,espresso coffee machine,????
headphones,radio not functioning unclear fault still work as noise protection,repairable,Unknown,Peltor noise cancellation /radio headphones,????
misc,input selection,repairable,Unknown,Amplifier,????
power tool,cable inside has rotted stripped and rewired and greased,fixed,Bosch,phs65 hedge trimmer,????
small kitchen item,connection needs cleaning works enough but not perfect,fixed,M&S,T68,????
hair beauty item,weren t getting hot needed spare part,fixed,GHD,Unknown,????
lamp,blown fuse,fixed,Unknown,claas olsen,????
vacuum,rechargeable batteries dead need replacing,repairable,Philips,hand held vacuum,????
misc,dvd not working no faults found to try lens clean,repairable,Technosonic,TV/DVD player LCD1508AP,????
handheld entertainment device,not working had thought it was slot but seems to be the controller itself,end of life,Sony,PS2 controller.,????
decorative or safety lights,no light fuse checked,end of life,Unknown,Unknown,????
flat screen,no power damaged power board,end of life,Samsung,LE32B450C4W,????
tv and gaming related accessories,plug snapped in socket,fixed,Unknown,HD digital TV recorder (Sagemcom),????
misc,no power to be rewired,repairable,Unknown,12m extension lead (JoJo),????
laptop,no channel 4,repairable,Apple,MacBook Air,????
lamp,bought spare bulb but not easy to change involved soldering wires,fixed,Unknown,Reading light,????
pc accessory,dropped and 4 keys no longer working,end of life,Unknown,mofii bluetooth keyboard,????
hi fi separates,had been plugged into wrong power supply damaged electronics,end of life,Unknown,Record player,????
portable radio,corroded batteries,fixed,Philips,Rabette,????
portable radio,corroded batteries advice given on cleaning up,repairable,Blaupunkt,Unknown,????
lamp,no light part missing,repairable,Unknown,Halogen torch,????
laptop,no boot up disk read error need windows 7 disk,repairable,Sony,Vaio,????
misc,no power rusted contact needs assembly part,end of life,Tefal,Avantis 90 steam iron,????
handheld entertainment device,doesn t recharge battery dead,end of life,Samsung,MP3 U3,????
vacuum,power comes in and out motor overheating,end of life,Hoover,Telios,????
vacuum,no power checked fuse faulty plug to replace at home,repairable,Hoover,Blaze,????
kettle,switch doesn t stay on broken part removed,fixed,Unknown,Hot water dispenser (Hot Cup),????
kettle,sticky switch casing clash modified,fixed,John Lewis,Unknown,????
power tool,no power broken cable joint rewired,fixed,Qualcast,Hedge Trimmer (Hedgemaster 380),????
aircon dehumidifier,element connection fused,fixed,Unknown,Status space heater,????
hi fi separates,no bass in subwoofer,repairable,JBL,2.1 speaker,????
hi fi separates,cd disk error to contact manufacturer software issue,repairable,Bose,AWRCC5 Wavemusic system CD player,????
kettle,broken handle help with fitting replacement part,fixed,SMEG,KLF0155UK,????
misc,not running dc socket loose connection,repairable,Unknown,sewing machine,????
small kitchen item,no power mechanical piece stuck,fixed,Unknown,Blender (Cooks Professional) D7976/D7977/TK7138-2,????
lamp,no light fuse changed bulb changed some corrosion addressed,fixed,Unknown,Pair of table lamps (old),????
small kitchen item,noisy oiled previously but did not fix bearings dead new part needed,repairable,Salter,Juicer (Nutripod),????
hi fi integrated,no radio cannot open cd slots,repairable,JVC,CD radio player UX-559,????
vacuum,battery not charging needs new rechargeable battery,repairable,Unknown,DEIK rechargebal vacuum,????
hair beauty item,needed plug,fixed,Braun,Compact 1500,????
hair beauty item,no power,fixed,Boots,1600,????
hair beauty item,not turning on,end of life,Braun,Silencio 1600,????
misc,faulty cut out switch,repairable,Unknown,AVO ampmeter,????
vacuum,only works intermittently,end of life,VAX,c58,????
kettle,no power to base,repairable,Unknown,Hasbean Bonavita,????
small kitchen item,cable snapped need right tool to reach,repairable,Kenwood,HM320,????
hair beauty item,working intermittently,end of life,Unknown,Hair straighteners ceramic 1c,????
lamp,fell over broken,fixed,Unknown,Unknown,????
paper shredder,jammed,fixed,Fellowes,Unknown,????
misc,belt perished,repairable,Unknown,Tape recorder,????
portable radio,faulty volume control,fixed,Red,Unknown,????
pc accessory,bad connection,repairable,WD,My passport,????
misc,baseunit and 1 handset ok 2 others not working,fixed,BT,Graphite 1500 phone system,????
misc,vaeunit and 1 handset ok 1 other not working,fixed,BT,Freestyle 750 phone system,????
portable radio,faulty switch and mains hum,fixed,Roberts,Sangeen RC40,????
misc,shuttle case broken,repairable,Toyota,Sewing machine,????
laptop,won t boot hard disk problem,repairable,Sony,Vaio,????
small kitchen item,plastic case melted and warped,repairable,Unknown,Hand blender,????
portable radio,binnengedeelte defect,end of life,Unknown,Unknown,????
small kitchen item,moet gelast worden,fixed,Unknown,Unknown,????
paper shredder,jammed up,fixed,Unknown,Unknown,????
vacuum,stopped,fixed,Flymo,hovermo,????
decorative or safety lights,socket broken,fixed,Unknown,Unknown,????
power tool,smokes,end of life,Kenwood,fp190,????
vacuum,smokes,end of life,Unknown,oreck xl,????
mobile,not starting responding,end of life,Samsung,Galaxy,????
lamp,starting switch not working consistently,fixed,Unknown,floor lamp,????
lamp,replaced switch and reassembled,fixed,Unknown,table lamp,????
misc,mechanical took apart cleaned and re assembled,fixed,Siemens,Unknown,????
misc,dvd player drawer doesnt open,end of life,Unknown,Unknown,????
vacuum,vacuum lost suction fixed by showing owner how to clean filter,fixed,Unknown,Unknown,????
toaster,faulty timer owner had spare part and needed help fitting,fixed,Dualit,Unknown,????
toaster,toaster doesnt stay down on one side,fixed,Unknown,Unknown,????
portable radio,volume knob is faulty needed cleaning,fixed,Unknown,Unknown,????
lamp,lamp not working,fixed,Unknown,Unknown,????
toaster,doesnt stay down needed cleaning to allow contact,fixed,Unknown,Unknown,????
kettle,electric coffee percolator buttons do not work to control it,end of life,Unknown,bialetti,????
